MCU,SE,IBGE,UNIDADE,ENDERECO,COMPLEMENTO,NUMERO,BAIRRO,CIDADE,MUNICIPIO,UF,CEP
20503,RS,4307807,AC ESTRELA,RUA CORONEL FLORES,0,365,CENTRO,ESTRELA,ESTRELA,RS,95880970
20479,RS,4307708,AC ESTEIO,RUA FERNANDO FERRARI,0,1393,CENTRO,ESTEIO,ESTEIO,RS,93260970
20484,RS,4307609,AC ESTANCIA VELHA,RUA PORTAO,0,441,CENTRO,ESTANCIA VELHA,ESTANCIA VELHA,RS,93600970
20436,RS,4307559,AC ESTACAO,AVENIDA LIDO TAGLIARI,SALA 01,780,CENTRO,ESTACAO,ESTACAO,RS,99930970
20502,RS,4307500,AC ESPUMOSO,RUA BARAO DO RIO BRANCO,0,500,CENTRO,ESPUMOSO,ESPUMOSO,RS,99400970
38136,RS,4307450,AC ESPERANCA DO SUL,AVENIDA RIO BRANCO,0,1482,CENTRO,ESPERANCA DO SUL,ESPERANCA DO SUL,RS,98635970
20433,RS,4307401,AC ESMERALDA,AVENIDA CASTELO BRANCO,0,898,CENTRO,ESMERALDA,ESMERALDA,RS,95380970
20631,RS,4307302,AC ERVAL SECO,RUA HERMANN MEYER,0,260,CENTRO,ERVAL SECO,ERVAL SECO,RS,98390970
20432,RS,4307203,AC ERVAL GRANDE,AVENIDA CAPITAO BATISTA GRANDO,SALA 02,30,CENTRO,ERVAL GRANDE,ERVAL GRANDE,RS,99750970
20736,RS,4307054,AC ERNESTINA,RUA JOAO GONCALVES DA SILVA,0,198,CENTRO,ERNESTINA,ERNESTINA,RS,99140970
20531,RS,4307005,AC ERECHIM,RUA NELSON EHLERS,0,270,CENTRO,ERECHIM,ERECHIM,RS,99700970
20437,RS,4306973,AC EREBANGO,AVENIDA OURO VERDE,SALAS 02,264,CENTRO,EREBANGO,EREBANGO,RS,99920970
20737,RS,4306957,AC ENTRE RIOS DO SUL,AVENIDA DANILO LORENZI,0,527,CENTRO,ENTRE RIOS DO SUL,ENTRE RIOS DO SUL,RS,99645970
20682,RS,4306932,AC ENTRE IJUIS,RUA VICENTE MANOEL DE DEUS,0,296,CENTRO,ENTRE IJUIS,ENTRE IJUIS,RS,98855970
20406,RS,4306908,AC ENCRUZILHADA DO SUL,RUA TOMAS FLORES,0,7,CENTRO,ENCRUZILHADA DO SUL,ENCRUZILHADA DO SUL,RS,96610970
20480,RS,4306809,AC ENCANTADO,RUA TIRADENTES,0,440,CENTRO,ENCANTADO,ENCANTADO,RS,95960970
20684,RS,4306767,AC ELDORADO DO SUL,AVENIDA EMANCIPACAO,0,129,CENTRO,ELDORADO DO SUL,ELDORADO DO SUL,RS,92990970
61763,RS,4306759,AC DOUTOR RICARDO,RODOVIA RS332,KM 21,,CENTRO,DOUTOR RICARDO,DOUTOR RICARDO,RS,95967971
20731,RS,4306734,AC DOUTOR MAURICIO CARDOSO,AVENIDA GETULIO VARGAS,0,1250,CENTRO,DOUTOR MAURICIO CARDOSO,DOUTOR MAURICIO CARDOSO,RS,98925970
20565,RS,4306700,AC DONA FRANCISCA,RUA BORGES DE MEDEIROS,0,737,CENTRO,DONA FRANCISCA,DONA FRANCISCA,RS,97280970
46806,RS,4306551,AC DOM PEDRO DE ALCANTARA,AVENIDA CENTRAL,0,259,CENTRO,DOM PEDRO DE ALCANTARA,DOM PEDRO DE ALCANTARA,RS,95568970
20403,RS,4306601,AC DOM PEDRITO,RUA BORGES DE MEDEIROS,0,1232,CENTRO,DOM PEDRITO,DOM PEDRITO,RS,96450970
20513,RS,4306502,AC DOM FELICIANO,RUA BENJAMIN CONSTANT,0,350,CENTRO,DOM FELICIANO,DOM FELICIANO,RS,96190970
